time,band,mean_ndvi,std_ndvi
2025-01-11 10:49:05.452,NDVI,0.7110949314736525,0.21553511501762568
2025-02-05 10:49:10.372,NDVI,0.6959018586619574,0.18300834293365914
2025-02-15 10:49:13.197,NDVI,0.6640101051102666,0.16698673034799294
2025-03-22 10:49:31.724,NDVI,0.6646678458348583,0.16818387845615324
2025-04-01 10:49:31.507,NDVI,0.6698813432415501,0.1757583900407786
2025-04-06 10:49:09.374,NDVI,0.6671793305836702,0.17243765296615715
2025-05-16 10:49:09.023,NDVI,0.7575184525569029,0.13368302722858436
2025-05-26 10:49:10.048,NDVI,0.766735528376846,0.1409144031397228
2025-05-31 10:49:29.190,NDVI,0.7651423855774725,0.14265071570496626
2025-06-10 10:49:28.896,NDVI,0.7652239855940489,0.13638943572468137
2025-06-22 10:49:23.064,NDVI,0.7551550543907982,0.1636486559369625
2025-06-25 10:49:10.549,NDVI,0.7447755794532105,0.160958303739497
2025-06-30 10:49:30.286,NDVI,0.752456915932458,0.18266908832459133
2025-07-02 10:49:26.318,NDVI,0.7423351490730424,0.17628768202037692
2025-07-10 10:49:31.844,NDVI,0.7490220343913009,0.1749269836984363
2025-07-15 10:49:17.859,NDVI,0.7601257150091456,0.18563560397756024
2025-07-30 10:49:30.221,NDVI,0.7384789638575118,0.18158268569956354
2025-08-11 10:49:22.312,NDVI,0.728175887995558,0.17014072485575626
2025-08-14 10:49:11.055,NDVI,0.7325231975251955,0.18221908104593926
2025-09-03 10:49:08.264,NDVI,0.7441080780661788,0.16375824064856734
2025-09-18 10:49:21.320,NDVI,0.7552314956933533,0.13222732659731526
2025-09-23 10:49:08.051,NDVI,0.7685041222785185,0.1372223862624702
2025-09-30 10:49:24.257,NDVI,0.7661190504317855,0.13543770630794022
2025-10-08 10:49:22.788,NDVI,0.7655141183612235,0.13532369737071204
2025-10-28 10:49:21.727,NDVI,0.7542171463067439,0.12784156985212905
2025-10-30 10:49:25.378,NDVI,0.748692183392916,0.12069645736569184
2025-11-09 10:49:24.065,NDVI,0.7243859847149307,0.13486245799606492
2025-11-19 10:49:25.074,NDVI,0.6888795706295754,0.14248512060763227
2025-11-27 10:49:17.867,NDVI,0.6682330787716645,0.14921887854616206
2025-11-29 10:49:25.751,NDVI,0.64684380018082,0.15107527272918925
2025-12-17 10:49:16.747,NDVI,0.6732619568383448,0.14368841418420325
2026-01-06 10:49:14.124,NDVI,0.7003672943733718,0.17150535299583097
2026-01-11 10:49:05.940,NDVI,0.6840485524770499,0.17540771607063765
2026-02-20 10:49:05.511,NDVI,0.6875363286019907,0.18189249868083252
2026-02-20 10:49:33.026,NDVI,0.6712724567281021,0.1774269234185456
2026-03-17 10:49:11.074,NDVI,0.6682764017234597,0.1702753470795946
2026-03-27 10:49:10.448,NDVI,0.6636978964410537,0.16767484390206475
2026-04-08 10:49:28.722,NDVI,0.6944501048356929,0.17477784967006812
2026-04-16 10:49:07.789,NDVI,0.7173617915897017,0.15048847355898323
2026-04-21 10:49:04.817,NDVI,0.74644683451793,0.14074418837011451
2026-04-26 10:49:09.467,NDVI,0.7640401071282997,0.14353918735752236
